german,english,german_full,s1,t1,s2,t2,s3,t3,s4,t4,s5,t5,s6,t6
Netz,net,"das Netz, -e",Bitte bring ein Netz Orangen.,Please bring a net of oranges.,Der Ball berührte das Netz.,The ball touched the net.,Seid ihr schon ans Netz angeschlossen?,Are you already connected to the grid?,,,,,,
Netzwerk,network,"das Netzwerk, -e",Soziale Netzwerke sind wichtig.,Social networks are important.,Das Telefonnetzwerk wird ständig erweitert.,The telephone network is constantly being expanded.,,,,,,,,
Neuigkeit,news,"die Neuigkeit, -en",In dieser Sache gibt es keine Neuigkeiten.,There is no news on this matter.,,,,,,,,,,
Nichte,niece,"die Nichte, -n",Die Tasche ist ein Geschenk von meiner Nichte.,The bag is a gift from my niece.,,,,,,,,,,
"Nichtraucher, Nichtraucherin",Non-smoker,"der Nichtraucher, - 
die Nichtraucherin, -nen",In unserer Familie sind alle Nichtraucher.,Everyone in our family is a non-smoker.,Möchten Sie einen Tisch im Nichtraucherbereich?,Would you like a table in the non-smoking area?,,,,,,,,
Notaufnahme,emergency room,"die Notaufnahme, -n",Die Notaufnahme ist gleich hier links.,The emergency room is right here on the left.,,,,,,,,,,
Notausgang,emergency exit,"der Notausgang, ¨-e",Der Notausgang ist gleich hier bei der Treppe.,The emergency exit is right here by the stairs.,,,,,,,,,,
Notfall,emergency,"der Notfall, ¨-e",Wir haben einen Notfall. Bitte schicken Sie einen Krankenwagen.,We have an emergency. Please send an ambulance.,Im Notfall rufen Sie bitte diese Nummer an.,"In an emergency, please call this number.",,,,,,,,
Notruf,emergency call,"der Notruf, -e",Der Notruf hat die Nummer 110.,The emergency number is 110.,,,,,,,,,,
Note,"grade, note","die Note, -n",Eva hat immer sehr gute Noten in Mathematik.,Eva always has very good grades in math.,Meine Kinder lernen im Musikunterricht gerade Noten lesen.,My children are learning to read music in music lessons.,,,,,,,,
Notiz,note,"die Notiz, -en",Ich habe Ihnen eine Notiz geschrieben.,I have written you a note.,Hast du einen Notizzettel für mich?,Do you have a note for me?,,,,,,,,
Nudel,"noodle, pasta","die Nudel, -n",Möchten Sie Nudeln oder Reis? – Lieber Nudeln.,Would you prefer pasta or rice?,,,,,,,,,,
Nummer,number,"die Nummer, -n",Ich habe mich in der Hausnummer geirrt.,I made a mistake with the house number.,Ich habe die falsche Nummer gewählt.,I dialed the wrong number.,Der Wagen hatte eine Münchner Nummer.,The car had a Munich number.,Sie haben Zimmer Nummer zwölf.,You have room number twelve.,Bitte geben Sie mir Ihre Kontonummer.,Please give me your account number.,Haben Sie die Bluse eine Nummer kleiner?,Do you have the blouse one size smaller?
Ober,waiter,"der Ober, - (D, A) 
→ Kellner; CH: Serviceangestellter",Ich bin Ober von Beruf.,I am a waiter by profession.,,,,,,,,,,
Obst,fruit,"das Obst (Sg.) (D, A) 
→ CH: Früchte",Obst kaufe ich am liebsten auf dem Markt.,I prefer to buy fruit at the market.,,,,,,,,,,
(Back-)Ofen,(baking) oven,"der (Back-)Ofen, ¨- (D, CH) 
→ A: (Back-)Rohr",Ich habe gerade eine Pizza gemacht. Sie ist ganz frisch aus dem Ofen.,I've just made a pizza. It's fresh out of the oven.,,,,,,,,,,
Öffentlichkeit,public,die Öffentlichkeit (Sg.),Von solchen Dingen erfährt die Öffentlichkeit nur selten.,The public rarely hears about such things.,Ich möchte in der Öffentlichkeit nicht streiten.,I don't want to argue in public.,,,,,,,,
Ohr,ear,"das Ohr, -en",Ich habe Ohrenschmerzen.,I have an earache.,Das Baby hat aber kleine Ohren!,But the baby has small ears!,,,,,,,,
Öl,oil,"das Öl, -e",Es fehlt Öl am Salat.,There is no oil in the salad.,Wir heizen mit Öl.,We heat with oil.,Können Sie bei meinem Auto bitte das Öl kontrollieren?,Can you please check the oil in my car?,,,,,,
Oma,grandma,"die Oma, -s",Meine Oma ist achtzig Jahre alt geworden.,My grandma turned eighty years old.,,,,,,,,,,
Onkel,uncle,"der Onkel, -",Nächste Woche fahre ich zu meinem Onkel nach Berlin.,Next week I'm going to visit my uncle in Berlin.,,,,,,,,,,
Opa,grandpa,"der Opa, -s",Mein Opa heißt Hans.,My grandpa's name is Hans.,,,,,,,,,,
Oper,opera,"die Oper, -n",Ich mag Opern.,I like opera.,Warst du schon mal in der Oper?,Have you ever been to the opera?,,,,,,,,
Operation,operation,"die Operation, -en",Seit der Operation kann ich mein Knie nicht mehr bewegen.,I have not been able to move my knee since the operation.,,,,,,,,,,
Opfer,victim,"das Opfer, -",Bei der Schiffskatastrophe gab es viele Opfer.,There were many victims of the shipwreck.,,,,,,,,,,
Orange,orange,"die Orange, -n",Ich esse gern Orangen.,I like to eat oranges.,,,,,,,,,,
Orchester,orchestra,"das Orchester, -",Auf unserer Hochzeit hat ein kleines Orchester gespielt.,A small orchestra played at our wedding.,,,,,,,,,,
Ordination,consultation (hour),"die Ordination, -en (A) 
→ Praxis",Die Ordination bleibt bis zum 7. Jänner geschlossen.,The consultation will remain closed until January 7th.,,,,,,,,,,
Ordination,"consultation (hour), surgery","die Ordination, -en (A) 
→ Sprechstunde",Frau Dr. Berger hat von 8 bis 12 Uhr Ordination.,Dr. Berger has consultation hours from 8 am to 12 pm.,,,,,,,,,,
Ordner,folder,"der Ordner, -",Für meine Übungen im Deutschkurs habe ich mir einen Ordner gekauft.,I bought a folder for my exercises in my German course.,,,,,,,,,,
Ordnung,order,"die Ordnung, -en",Mach mal etwas Ordnung in deinem Zimmer!,Tidy up your room a bit!,Bitte beachten Sie die Hausordnung.,Please observe the house rules.,Mit dem Motor ist etwas nicht in Ordnung.,There is something wrong with the engine.,,,,,,
Organisation,organization,"die Organisation, -en",Die Organisation des Festes war sehr gut.,The organization of the festival was very good.,Sind Sie Mitglied in einer Organisation?,Are you a member of an organization?,,,,,,,,
Original,original,"das Original, -e",Das Original ist für Sie. Wir bekommen die Kopie.,The original is for you. We get the copy.,,,,,,,,,,
Ort,place,"der Ort, -e",Vergessen Sie Ort und Datum nicht.,Do not forget the place and date.,,,,,,,,,,
Wohnort,place of residence,"der Wohnort, -e",Tragen Sie bitte auch Ihren Wohnort ein.,Please also enter your place of residence.,,,,,,,,,,
Ozean,ocean,"der Ozean, -e",Dieses Schiff fährt über den Atlantischen Ozean.,This ship sails across the Atlantic Ocean.,,,,,,,,,,
Paar,"pair, couple","das Paar, -e",Ina und Pedro sind ein Paar.,Ina and Pedro are a couple.,Gestern habe ich mir ein Paar neue Schuhe gekauft.,Yesterday I bought myself a new pair of shoes.,,,,,,,,
Paket,package,"das Paket, -e",Hast du das Paket zur Post gebracht?,Did you take the package to the post office?,,,,,,,,,,
Panne,breakdown,"die Panne, -n",Kurz vor München hatten wir eine Panne mit dem Auto.,Shortly before Munich we had a breakdown with the car.,"Die Reise war schlecht organisiert, es gab mehrere Pannen.",The trip was poorly organized and there were several breakdowns.,,,,,,,,
Papier,paper,"das Papier, -e",Hast du ein Blatt Papier für mich?,Do you have a piece of paper for me?,Bitte bringen Sie zu dem Termin alle Papiere mit.,Please bring all papers with you to the appointment.,,,,,,,,
Paradeiser,tomato,"der Paradeiser, - (A) 
→ Tomate",Kauf bitte noch Paradeiser auf dem Markt.,Please buy tomatoes at the market.,,,,,,,,,,
Parfüm,perfume,"das Parfüm, -s",Zum Geburtstag habe ich von meinem Mann ein Parfüm bekommen.,My husband gave me a perfume for my birthday.,,,,,,,,,,
Park,park,"der Park, -s",Ich gehe gern im Park spazieren.,I like going for walks in the park.,,,,,,,,,,
"Partner, Partnerin",partner,"der Partner, - 
die Partnerin, -nen",Wir haben das Geschäft zusammen. Wir sind Partner.,We have the business together. We are partners.,Beide Partner kümmern sich um die Kinder.,Both partners look after the children.,Herr Aydin ist mein Geschäftspartner.,Mr. Aydin is my business partner.,,,,,,
Party,party,"die Party, -s",Letzte Woche war ich auf einer Geburtstagsparty.,Last week I was at a birthday party.,,,,,,,,,,
Pass,passport,"der Pass, ¨-e",Ich muss meinen Pass verlängern lassen.,I have to have my passport extended.,Im Hotel brauchst du bei der Anmeldung deinen Pass.,You will need your passport to register at the hotel.,,,,,,,,
"Passagier, Passagierin",passenger,"der Passagier, -e 
die Passagierin, -nen",Die Passagiere Schulz und Kaufmann sollen bitte zur Information kommen.,The passengers Schulz and Kaufmann should please come to the information desk.,,,,,,,,,,
"Patient, Patientin",patient,"der Patient, -en 
die Patientin, -nen",Ich bin Patientin bei Dr. Hausner. Ich möchte bitte einen Termin.,I am a patient of Dr. Hausner. I would like an appointment please.,,,,,,,,,,
Pause,"break, pause","die Pause, -n",Wir machen zehn Minuten Pause.,We take a ten-minute break.,,,,,,,,,,
Pech,bad luck,das Pech (Sg.),Es regnet. Unser Picknick fällt leider aus. – So ein Pech!,It's raining. Our picnic is unfortunately canceled. - What bad luck!,Wir hatten im Urlaub Pech mit dem Wetter.,We were unlucky with the weather on our vacation.,,,,,,,,
Pension,guesthouse,"die Pension, -en",Im Urlaub haben wir in einer kleinen Pension gewohnt.,We stayed in a small guesthouse during our vacation.,,,,,,,,,,
Pension,pension,"die Pension, -en (A, CH) 
→ D, CH: Rente",Sie ist 67 und bekommt jetzt eine gute Pension.,She is 67 and now receives a good pension.,,,,,,,,,,
"Pensionist, Pensionistin",pensioner,"der Pensionist, -en 
die Pensionistin, -nen (A) 
→ D, CH: Rentner",Meine Großmutter arbeitet nicht mehr. Sie ist Pensionistin.,My grandmother no longer works. She is a pensioner.,,,,,,,,,,
Perron,"platform, track","der Perron, -s (CH) 
→ D, A: Bahnsteig",Auf Hauptbahnhöfen gibt es meist viele Perrons.,There are usually many platforms at main stations.,,,,,,,,,,
Person,person,"die Person, -en",Eintritt pro Person: 2 Euro.,Admission per person: 2 euros.,,,,,,,,,,
Personalien,personal data,die Personalien (Pl.),Mein Kollege wird Ihre Personalien aufnehmen.,My colleague will take your personal details.,,,,,,,,,,
Personenstand,marital status,"der Personenstand, ¨-e 
→ D, A: Familienstand; CH: Zivilstand",Bei „Personenstand“ musst du „ledig“ ankreuzen.,"Under ""Marital status"" you must check ""single"".",,,,,,,,,,
Personal,"personnel, staff",das Personal (Sg.),Dieser Eingang ist nur für das Personal.,This entrance is for staff only.,,,,,,,,,,
Pfanne,pan,"die Pfanne, -n (CH) 
→ D, A: Topf",Hast du keine größere Pfanne? Ich möchte Kartoffeln kochen.,Don't you have a bigger pan? I want to cook potatoes.,,,,,,,,,,
Pfeffer,pepper,"der Pfeffer, -",Bringen Sie uns bitte Pfeffer und Salz.,Please bring us pepper and salt.,,,,,,,,,,
Pflanze,plant,"die Pflanze, -n","Wenn wir im Urlaub sind, gießt die Nachbarin unsere Pflanzen.","When we are on vacation, the neighbor waters our plants.",,,,,,,,,,
Pflaster,plaster,"das Pflaster, -",Hast du ein Pflaster? Ich habe mich geschnitten.,Do you have a plaster? I've cut myself.,,,,,,,,,,
Pflaume,plum,"die Pflaume, -n",Ich esse gern Pflaumen und noch lieber Pflaumenkuchen.,I love eating plums and even more plum cake.,,,,,,,,,,
"Pfleger, Pflegerin",caregiver,"der Pfleger, - 
die Pflegerin, -nen",Meine Freundin ist Pflegerin in einem Altersheim.,My friend is a carer in a retirement home.,,,,,,,,,,
Pflicht,"obligation, duty","die Pflicht, -en",Als Autofahrer müssen Sie eine Versicherung haben. Das ist Pflicht.,"As a driver, you must have insurance. It is compulsory.",,,,,,,,,,
Phantasie/Fantasie,"fantasy, imagination","die Phantasie/Fantasie, -n",Mein Sohn malt sehr gut. Er hat viel Phantasie.,My son draws very well. He has a lot of imagination.,,,,,,,,,,
Picknick,picnic,"das Picknick, -s die Pille, -n",Am Sonntag machen wir ein Picknick. Der Arzt hat mir neue Pillen verschrieben.,We're going on a picnic on Sunday. The doctor has prescribed me new pills.,,,,,,,,,,
Pilz,mushroom,"der Pilz, -e 
→ A: Schwammerl",Haben Sie frische Pilze?,Do you have fresh mushrooms?,,,,,,,,,,
Pizza,pizza,"die Pizza, -s/Pizzen",Lass uns eine Pizza bestellen!,Let's order a pizza!,,,,,,,,,,
Plakat,poster,"das Plakat, -e",Im Unterricht haben wir ein Plakat gemacht.,We made a poster in class.,,,,,,,,,,
Plan,plan,"der Plan, ¨-e","Was macht ihr im Sommer? – Ich weiß noch nicht, wir haben noch keine Pläne.","What are you doing in the summer? - I don't know yet, we don't have any plans.",Haben Sie einen Plan von Berlin?,Do you have a map of Berlin?,,,,,,,,
Planung,planning,"die Planung, -en",Unsere Planung für das Sommerfest steht schon lange.,We have been planning the summer party for a long time.,,,,,,,,,,
Plastik,plastic,das Plastik,Was für ein Spielzeug möchten Sie? Aus Plastik oder aus Holz?,What kind of toy would you like? Plastic or wooden?,,,,,,,,,,
Platz,"place, seat, square","der Platz, ¨-e",In unserer Wohnung haben wir nicht genug Platz.,We don't have enough space in our apartment.,Ist dieser Platz noch frei?,Is this seat still free?,Nehmen Sie bitte Platz.,Please take a seat.,"Die Post ist auf dem Platz, direkt am Markt.","The post office is on the square, right next to the market.",,,,
Politik,"politics, policy","die Politik, -en",Ich interessiere mich nicht für Politik.,I'm not interested in politics.,,,,,,,,,,
"Politiker, Politikerin",politician,"der Politiker, - 
die Politikerin, -nen","Weißt du, wie dieser Politiker heißt?",Do you know the name of this politician?,,,,,,,,,,
Polizei,police,"die Polizei, -en",Rufen Sie bitte die Polizei.,Please call the police.,Er arbeitet bei der Polizei.,He works for the police.,,,,,,,,
"Polizist, Polizistin",policeman,"der Polizist, -en 
die Polizistin, -nen",Die Ampel war kaputt. Ein Polizist hat den Verkehr geregelt.,The traffic lights were broken. A policeman regulated the traffic.,,,,,,,,,,
Pommes frites,french fries,die Pommes frites (Pl.),Die Kinder essen gern Würstchen mit Pommes frites.,The children like to eat sausages with chips.,,,,,,,,,,
Portemonnaie/Portmonee,"wallet, purse","das Portemonnaie/Portmonee, -s (D, CH) 
→ Brieftasche; A: Geldbörse",Ich habe nur Kleingeld in meinem Portemonnaie.,I only have small change in my wallet.,,,,,,,,,,
Portion,portion,"die Portion, -en","Bitte, eine große Portion Sahne!","Please, a large portion of cream!",,,,,,,,,,
Post,post,"die Post, -en",Die Post macht erst um 8 Uhr auf.,The post office doesn't open until 8 o'clock.,Meine Frau arbeitet bei der Post.,My wife works at the post office.,Ist Post für mich da?,Is there mail for me?,,,,,,
Postleitzahl,zip code,"die Postleitzahl, -en",Weißt du die Postleitzahl der Kollwitzstraße in Berlin?,Do you know the zip code of Kollwitzstraße in Berlin?,,,,,,,,,,
"Pöstler, Pöstlerin",postman,"der Pöstler, - 
die Pöstlerin, -nen (CH) 
→ Briefträger",War die Pöstlerin schon da?,Has the postwoman arrived yet?,,,,,,,,,,
Poulet,chicken,"das Poulet, -s (CH) 
→ D: Hähnchen/Hühnchen; A: Hend(e)l",Zum Mittagessen gibt es Poulet mit Reis.,For lunch we have chicken with rice.,,,,,,,,,,
Praktikum,internship,"das Praktikum, Praktika",Ich mache diesen Sommer drei Monate ein Praktikum bei einer Firma.,I'm doing a three-month internship at a company this summer.,,,,,,,,,,
"Prkatikant, Praktikantin","intern, trainee","der Praktikant, -en 
die Praktikantin, -nen",Bei dieser Firma habe ich zwei Jahre als Praktikantin gearbeitet.,I worked at this company for two years as an intern.,,,,,,,,,,
Präsentation,presentation,"die Präsentation, -en",Die Schülerin hat für ihre Präsentation eine gute Note bekommen.,The student received a good grade for her presentation.,,,,,,,,,,
Praxis,practice,die Praxis (Sg.),Das ist die Theorie. In der Praxis ist vieles ganz anders.,"That's the theory. In practice, things are very different.",,,,,,,,,,
Praxis,consultation (hour),"die Praxis, Praxen 
→ A: Ordination",Die Arztpraxis bleibt bis zum 7. Januar geschlossen.,The doctor's office will remain closed until January 7.,,,,,,,,,,
Preis,price,"der Preis, -e",Die Preise sind schon wieder gestiegen.,Prices have already risen again.,Wer hat den ersten Preis gewonnen?,Who won the first prize?,,,,,,,,
Presse,press,"die Presse, -n",Darüber konnte sich jeder in der Presse informieren.,Everyone could read about this in the press.,,,,,,,,,,
Problem,problem,"das Problem, -e",José spricht nicht gern über seine Probleme.,José doesn't like to talk about his problems.,,,,,,,,,,
Produkt,product,"das Produkt, -e",Unsere Produkte haben eine hohe Qualität.,Our products are of high quality.,"Der Arzt sagt, ich soll keine fertigen Produkte essen.",The doctor says I shouldn't eat ready-made products.,,,,,,,,
Produktion,production,"die Produktion, -en",Die Produktion von Käse dauert oft viele Wochen.,The production of cheese often takes many weeks.,,,,,,,,,,
"Professor, Professorin",professor,"der Professor, -en 
die Professorin, -nen",Unsere Nachbarin ist Professorin an der Universität.,Our neighbor is a professor at the university.,,,,,,,,,,
